,proteinName,geneName,synonyms,geneID,geneENS
A6NDR6,Putative homeobox protein Meis3-like 1,MEIS3P1,[],,
A6NDS4,TBC1 domain family member 3B,TBC1D3B,['TBC1D3I'],414059,ENSG00000274808
A6NDV4,Transmembrane protein 8B,TMEM8B,"['C9orf127', 'NGX6']",51754,ENSG00000137103
A6NDX4,,,[],,
A6NDX5,Putative zinc finger protein 840,ZNF840P,"['C20orf157', 'ZNF840']",,
A6NDY0,Embryonic polyadenylate-binding protein 2,PABPN1L,"['EPABP2', 'PABPNL1']",390748,ENSG00000205022
A6NDY2,Putative protein FAM90A10,FAM90A10,['FAM90A10P'],,ENSG00000285950
A6NDZ8,Putative methyl-CpG-binding domain protein 3-like 4,MBD3L4,[],653656,ENSG00000205718
A6NE01,Protein FAM186A,FAM186A,[],121006,ENSG00000185958
A6NE02,BTB/POZ domain-containing protein 17,BTBD17,[],388419,ENSG00000204347
A6NE21,,,[],,
A6NE52,WD repeat-containing protein 97,WDR97,['KIAA1875'],340390,ENSG00000179698
A6NE82,Putative methyl-CpG-binding domain protein 3-like 3,MBD3L3,[],653657,ENSG00000182315
A6NEC2,Puromycin-sensitive aminopeptidase-like protein,NPEPPSL1,[],,
A6NED2,RCC1 domain-containing protein 1,RCCD1,[],91433,ENSG00000166965
A6NEE1,Pleckstrin homology domain-containing family D member 1,PLEKHD1,[],400224,ENSG00000175985
A6NEF3,Golgin subfamily A member 6-like protein 4,GOLGA6L4,[],643707,ENSG00000184206
A6NEH6,Transmembrane protein 247,TMEM247,[],388946,ENSG00000284701
A6NEH8,Putative uncharacterized protein encoded by ZNF503-AS2,ZNF503-AS2,"['C10orf41', 'NCRNA00245']",,
A6NEL2,Ankyrin repeat domain-containing protein SOWAHB,SOWAHB,['ANKRD56'],345079,ENSG00000186212
A6NEL3,Putative protein FAM86C2P,FAM86C2P,[],,
A6NEM1,Golgin subfamily A member 6-like protein 9,GOLGA6L9,['GOLGA6L20'],440295,ENSG00000274320
A6NEN9,Uncharacterized protein CXorf65,CXorf65,[],158830,ENSG00000204165
A6NEQ0,"RNA-binding motif protein, Y chromosome, family 1 member E",RBMY1E,[],378950,ENSG00000242389
A6NEQ2,Protein FAM181B,FAM181B,[],220382,ENSG00000182103
A6NER0,TBC1 domain family member 3F,TBC1D3F,['TBC1D3E'],84218,
A6NER3,G antigen 12J,GAGE12J,[],,ENSG00000224659
A6NES4,Maestro heat-like repeat-containing protein family member 2A,MROH2A,['HEATR7B1'],,ENSG00000185038
A6NET4,Olfactory receptor 5K3,OR5K3,[],403277,ENSG00000206536
A6NEV1,Proline-rich protein 23A,PRR23A,[],729627,ENSG00000206260
A6NEW6,,,[],,
A6NEY3,,,[],,
A6NF01,Putative nuclear envelope pore membrane protein POM 121B,POM121B,[],,
A6NF34,Anthrax toxin receptor-like,ANTXRL,[],195977,ENSG00000274209
A6NF36,Coiled-coil domain-containing protein 182,CCDC182,[],101927581,ENSG00000166329
A6NF83,Nuclear protein 2,NUPR2,['NUPR1L'],389493,ENSG00000185290
A6NFA0,Protein FAM205C,FAM205C,['FAM205CP'],100129969,ENSG00000187791
A6NFA1,Metalloprotease TIKI2,TRABD2B,"['HKAT', 'TIKI2']",388630,ENSG00000269113
A6NFC9,Putative olfactory receptor 2W5 pseudogene,OR2W5P,['OR2W5'],441932,
A6NFD8,Hairy and enhancer of split-related protein HELT,HELT,[],391723,ENSG00000187821
A6NFE2,Single-pass membrane and coiled-coil domain-containing protein 2,SMCO2,['C12orf70'],341346,ENSG00000165935
A6NFF2,Putative nucleosome assembly protein 1-like 6,NAP1L6P,['NAP1L6'],,
A6NFI3,Zinc finger protein 316,ZNF316,[],100131017,ENSG00000205903
A6NFK2,Glutaredoxin domain-containing cysteine-rich protein 2,GRXCR2,[],643226,ENSG00000204928
A6NFN3,RNA binding protein fox-1 homolog 3,RBFOX3,[],146713,ENSG00000167281
A6NFN9,Protein ANKUB1,ANKUB1,['C3orf16'],389161,ENSG00000206199
A6NFQ7,Divergent paired-related homeobox,DPRX,[],503834,ENSG00000204595
A6NFR6,Uncharacterized protein C5orf60,C5orf60,[],285679,
A6NFT4,Cilia- and flagella-associated protein 73,CFAP73,['CCDC42B'],387885,ENSG00000186710
A6NFU0,Ig-like V-type domain-containing protein FAM187A,FAM187A,[],,ENSG00000214447
A6NFX1,Sphingosine-1-phosphate transporter MFSD2B,MFSD2B,[],388931,ENSG00000205639
A6NFY4,Nuclear envelope integral membrane protein 2,NEMP2,['TMEM194B'],100131211,ENSG00000189362
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial",SDHAF1,['LYRM8'],644096,ENSG00000205138
A6NFZ4,Protein FAM24A,FAM24A,[],118670,ENSG00000203795
A6NG13,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D",MGAT4D,[],152586,ENSG00000205301
A6NGA9,Transmembrane protein 202,TMEM202,[],338949,ENSG00000187806
A6NGB0,Transmembrane protein 191C,TMEM191C,[],645426,ENSG00000206140
A6NGB7,Transmembrane protein 221,TMEM221,[],100130519,ENSG00000188051
A6NGB9,WAS/WASL-interacting protein family member 3,WIPF3,['CR16'],644150,ENSG00000122574
A6NGC4,TLC domain-containing protein 2,TLCD2,[],727910,ENSG00000275246
A6NGD5,Zinc finger and SCAN domain-containing protein 5C,ZSCAN5C,['ZSCAN5CP'],,ENSG00000204532
A6NGE4,DDB1- and CUL4-associated factor 8-like protein 1,DCAF8L1,['WDR42B'],139425,ENSG00000226372
A6NGG3,Putative uncharacterized protein encoded by LINC03041,LINC03041,['C9orf92'],100129385,
A6NGG8,Photoreceptor cilium actin regulator,PCARE,['C2orf71'],388939,ENSG00000179270
A6NGH7,Coiled-coil domain-containing protein 160,CCDC160,[],347475,ENSG00000203952
A6NGK3,G antigen 10,GAGE10,[],102724473,ENSG00000215274
A6NGN4,PRAME family member 25,PRAMEF25,[],645359,ENSG00000283348
A6NGN9,IgLON family member 5,IGLON5,[],402665,ENSG00000142549
A6NGR9,Maestro heat-like repeat-containing protein family member 6,MROH6,['C8orf73'],642475,ENSG00000277781
A6NGU7,Putative uncharacterized protein encoded by LINC01546,LINC01546,['CXorf28'],,
A6NGW2,Putative stereocilin-like protein,STRCP1,['STRCP'],,
A6NGY1,Protein FRG2-like-2,FRG2C,[],100288801,ENSG00000172969
A6NGY3,Uncharacterized protein C5orf52,C5orf52,[],100190949,ENSG00000187658
A6NGZ8,Small integral membrane protein 9,SMIM9,['CXorf68'],100132963,ENSG00000203870
A6NH11,Glycolipid transfer protein domain-containing protein 2,GLTPD2,[],,ENSG00000182327
A6NH13,Putative uncharacterized protein DNAJC9-AS1,DNAJC9-AS1,['C10orf103'],,
A6NH21,Serine incorporator 4,SERINC4,[],619189,ENSG00000184716
A6NH52,Golgi apparatus membrane protein TVP23 homolog A,TVP23A,['FAM18A'],780776,ENSG00000166676
A6NHG4,D-dopachrome decarboxylase-like protein,DDTL,[],100037417,ENSG00000275758
A6NHJ4,Zinc finger protein 860,ZNF860,[],344787,ENSG00000197385
A6NHM9,Putative DBH-like monooxygenase protein 2,MOXD2P,['MOXD2'],,
A6NHN0,Otolin-1,OTOL1,[],131149,ENSG00000182447
A6NHN6,Nuclear pore complex-interacting protein family member B15,NPIPB15,['NPIPL2'],440348,ENSG00000196436
A6NHP3,Speedy protein E2B,SPDYE2B,[],100310812,ENSG00000173678
A6NHQ2,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,FBLL1,[],,ENSG00000188573
A6NHQ4,Elongin BC and Polycomb repressive complex 2-associated protein,EPOP,"['C17orf96', 'PRR28']",100170841,ENSG00000273604
A6NHR8,Putative protein FAM47D,FAM47DP,[],,
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,['KIAA0650'],23347,ENSG00000101596
A6NHS1,,,[],,
A6NHS7,MANSC domain-containing protein 4,MANSC4,[],100287284,ENSG00000205693
A6NHT5,Homeobox protein HMX3,HMX3,"['NKX-5.1', 'NKX5-1']",340784,ENSG00000188620
A6NHY2,Ankyrin repeat and death domain-containing protein 1B,ANKDD1B,[],728780,ENSG00000189045
A6NI03,Putative tripartite motif-containing protein 64B,TRIM64B,[],642446,ENSG00000189253
A6NI15,Mesogenin-1,MSGN1,[],343930,ENSG00000151379
A6NI28,Rho GTPase-activating protein 42,ARHGAP42,"['GRAF3', 'TMEM133']",143872,ENSG00000165895
A6NI47,Putative POTE ankyrin domain family member M,POTEM,[],641455,ENSG00000222036
A6NI56,Coiled-coil domain-containing protein 154,CCDC154,['C16orf29'],645811,ENSG00000197599
A6NI72,Putative neutrophil cytosol factor 1B,NCF1B,['SH3PXD1B'],,
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,"['ILT11', 'LILRB7', 'LIR9']",353514,ENSG00000278355
A6NI79,Coiled-coil domain-containing protein 69,CCDC69,[],26112,ENSG00000198624
A6NI86,Golgin subfamily A member 6-like protein 10,GOLGA6L10,['GOLGA6L18'],647042,ENSG00000278662
A6NI87,Protein chibby homolog 3,CBY3,[],646019,ENSG00000283718
A6NIE6,Putative RRN3-like protein RRN3P2,RRN3P2,[],,
A6NIE9,Putative serine protease 29,PRSS29P,['ISP2'],,
A6NIH7,Protein unc-119 homolog B,UNC119B,[],84747,ENSG00000175970
A6NIJ5,Putative protein FAM90A20P,FAM90A20P,['FAM90A20'],,ENSG00000233295
A6NIK2,Leucine-rich repeat-containing protein 10B,LRRC10B,[],390205,ENSG00000204950
A6NIM6,Solute carrier family 15 member 5,SLC15A5,[],729025,ENSG00000188991
A6NIN4,RING finger protein 227,RNF227,['LINC02581'],,ENSG00000179859
A6NIR3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5",AGAP5,['CTGLF2'],729092,ENSG00000172650
A6NIU2,Putative uncharacterized protein encoded by LINC01549,LINC01549,['C21orf37'],,
A6NIV6,Leucine-rich repeat and IQ domain-containing protein 4,LRRIQ4,['LRRC64'],344657,ENSG00000188306
A6NIX2,Wilms tumor protein 1-interacting protein,WTIP,[],126374,ENSG00000142279
A6NIY4,Speedy protein E5,SPDYE5,[],442590,ENSG00000170092
A6NJ08,Putative methyl-CpG-binding domain protein 3-like 5,MBD3L5,[],284428,ENSG00000237247
A6NJ46,Homeobox protein Nkx-6.3,NKX6-3,[],157848,ENSG00000165066
A6NJ64,Putative nuclear pore complex-interacting protein family member B2,NPIPB2,[],,ENSG00000234719
A6NJ69,IgA-inducing protein homolog,IGIP,['C5orf53'],492311,ENSG00000182700
A6NJ78,12S rRNA N4-methylcytidine (m4C) methyltransferase,METTL15,['METT5D1'],196074,ENSG00000169519
A6NJ88,Putative SAGE1-like protein,SAGE2P,[],,
A6NJB7,Proline-rich protein 19,PRR19,[],284338,ENSG00000188368
A6NJG2,Ankyrin repeat domain-containing protein SOWAHD,SOWAHD,['ANKRD58'],347454,ENSG00000187808
A6NJG6,Arginine-fifty homeobox,ARGFX,[],503582,ENSG00000186103
A6NJI1,Uncharacterized protein C11orf86,C11orf86,[],254439,ENSG00000173237
A6NJI9,Leucine-rich repeat-containing protein 72,LRRC72,[],100506049,ENSG00000205858
A6NJJ6,UPF0575 protein C19orf67,C19orf67,[],646457,ENSG00000288239
A6NJL1,Zinc finger and SCAN domain-containing protein 5B,ZSCAN5B,[],342933,ENSG00000197213
A6NJQ4,Putative protein FAM90A8,FAM90A8,['FAM90A8P'],,ENSG00000285937
A6NJR5,,,[],,
A6NJT0,Homeobox protein unc-4 homolog,UNCX,['UNCX4.1'],340260,ENSG00000164853
A6NJU9,Nuclear pore complex-interacting protein family member B13,NPIPB13,[],613037,ENSG00000198064
A6NJW4,Leucine-rich repeat-containing protein 3C,LRRC3C,[],100505591,ENSG00000204913
A6NJZ7,RIMS-binding protein 3C,RIMBP3C,[],150221,ENSG00000183246
A6NK53,Zinc finger protein 233,ZNF233,[],353355,ENSG00000159915
A6NK59,Ankyrin repeat and SOCS box protein 14,ASB14,[],142686,ENSG00000239388
A6NK75,Zinc finger protein 98,ZNF98,['ZNF739'],148198,ENSG00000197360
A6NK89,Ras association domain-containing protein 10,RASSF10,[],644943,ENSG00000189431
A6NKB5,Pecanex-like protein 2,PCNX2,"['KIAA0435', 'PCNXL2']",80003,ENSG00000135749
A6NKC0,Putative protein FAM90A7,FAM90A7,['FAM90A7P'],,ENSG00000285975
A6NKC9,SH2 domain-containing protein 7,SH2D7,[],646892,ENSG00000183476
A6NKD2,Testis-specific Y-encoded protein 2,TSPY2,['TSPYQ1'],64591,ENSG00000168757
A6NKD9,Coiled-coil domain-containing protein 85C,CCDC85C,[],317762,ENSG00000205476
A6NKF1,SAC3 domain-containing protein 1,SAC3D1,['SHD1'],,
A6NKF2,AT-rich interactive domain-containing protein 3C,ARID3C,[],138715,ENSG00000205143
A6NKF7,Transmembrane protein 88B,TMEM88B,[],643965,ENSG00000205116
A6NKG5,Retrotransposon-like protein 1,RTL1,"['MAR1', 'MART1', 'PEG11']",388015,ENSG00000254656
A6NKL6,Transmembrane protein 200C,TMEM200C,['TTMA'],645369,ENSG00000206432
A6NKN8,Purkinje cell protein 4-like protein 1,PCP4L1,['IQM1'],654790,ENSG00000248485
A6NKP2,Putative short-chain dehydrogenase/reductase family 42E member 2,SDR42E2,[],,ENSG00000183921
A6NKQ9,Choriogonadotropin subunit beta variant 1,CGB1,[],114335,ENSG00000267631
A6NKT7,RanBP2-like and GRIP domain-containing protein 3,RGPD3,['RGP3'],653489,ENSG00000153165
A6NKU9,Speedy protein E3,SPDYE3,[],441272,ENSG00000214300
A6NKW6,Protein shisa-like-2B,SHISAL2B,['FAM159B'],100132916,ENSG00000145642
A6NKX1,Protein FAM223B,FAM223B,"['CXorf52B', 'LINC00204B']",,
A6NKX4,Putative solute carrier family 22 member 31,SLC22A31,[],,ENSG00000259803
A6NL05,Protein FAM74A7,FAM74A7,[],,
A6NL46,,,[],,
A6NL88,Protein shisa-7,SHISA7,[],729956,ENSG00000187902
A6NL99,Putative aquaporin-7-like protein 3,AQP7P3,[],,
A6NLC5,UPF0524 protein C3orf70,C3orf70,[],285382,ENSG00000187068
A6NLC8,TATA-box binding protein associated factor 11 like protein 2,TAF11L2,[],,ENSG00000284373
A6NLE4,Small integral membrane protein 23,SMIM23,['C5orf50'],644994,ENSG00000185662
A6NLF2,,,[],,
A6NLI5,Tripartite motif-containing protein 64C,TRIM64C,[],646754,ENSG00000214891
A6NLJ0,C2 calcium-dependent domain-containing protein 4B,C2CD4B,"['FAM148B', 'NLF2']",388125,ENSG00000205502
A6NLP5,Tetratricopeptide repeat protein 36,TTC36,['HBP21'],143941,ENSG00000172425
A6NLU5,V-set and transmembrane domain-containing protein 2B,VSTM2B,[],342865,ENSG00000187135
A6NLW8,Double homeobox protein A,DUXA,[],503835,ENSG00000258873
A6NLX3,Speedy protein E4,SPDYE4,[],388333,ENSG00000183318
A6NLX4,Transmembrane protein 210,TMEM210,[],100505993,ENSG00000185863
A6NM10,Aquaporin-12B,AQP12B,[],653437,ENSG00000185176
A6NM11,Leucine-rich repeat-containing protein 37A2,LRRC37A2,[],474170,ENSG00000238083
A6NM28,Zinc finger protein 92 homolog,ZFP92,[],139735,ENSG00000189420
A6NM36,Leucine-rich repeat-containing protein 30,LRRC30,[],339291,ENSG00000206422
A6NM43,Putative T-complex protein 1 subunit theta-like 1,CCT8L1P,['CCT8L1'],,
A6NM62,Leucine-rich repeat-containing protein 53,LRRC53,[],,ENSG00000162621
A6NM66,Uncharacterized protein encoded by LINC01548,LINC01548,['C21orf54'],,
A6NMA1,Putative uncharacterized protein TRPC5OS,TRPC5OS,['TRPC5-AS1'],100329135,ENSG00000204025
A6NMB1,Sialic acid-binding Ig-like lectin 16,SIGLEC16,['SIGLECP16'],,
A6NMB9,Fidgetin-like protein 2,FIGNL2,[],401720,ENSG00000261308
A6NMD0,Interferon-induced transmembrane protein 10,IFITM10,[],402778,ENSG00000244242
A6NMD2,Golgin subfamily A member 8J,GOLGA8J,[],653073,ENSG00000278119
A6NMK8,Protein INSYN2B,INSYN2B,"['C5orf57', 'FAM196B']",100131897,ENSG00000204767
A6NML5,Transmembrane protein 212,TMEM212,[],389177,ENSG00000186329
A6NMN3,Protein FAM170B,FAM170B,['C10orf73'],170370,ENSG00000172538
A6NMS7,Leucine-rich repeat-containing protein 37A,LRRC37A,['LRRC37A1'],9884,ENSG00000176681
A6NMT0,Homeobox protein DBX1,DBX1,[],120237,ENSG00000109851
A6NMU1,Olfactory receptor 52A4,OR52A4P,['OR52A4'],,
A6NMX2,Eukaryotic translation initiation factor 4E type 1B,EIF4E1B,[],253314,ENSG00000175766
A6NMZ2,Sentan,SNTN,['S100A1L'],132203,ENSG00000188817
A6NMZ7,Collagen alpha-6(VI) chain,COL6A6,[],131873,ENSG00000206384
A6NN06,,,[],,
A6NN14,Zinc finger protein 729,ZNF729,[],100287226,ENSG00000196350
A6NN73,Golgin subfamily A member 8C,GOLGA8CP,['GOLGA8C'],,
A6NN90,Uncharacterized protein C2orf81,C2orf81,[],,ENSG00000284308
A6NNA2,Serine/arginine repetitive matrix protein 3,SRRM3,[],,
A6NNA5,Dorsal root ganglia homeobox protein,DRGX,['PRRXL1'],644168,ENSG00000165606
A6NNB3,Interferon-induced transmembrane protein 5,IFITM5,[],387733,ENSG00000206013
A6NNC1,,,[],,
A6NNE9,E3 ubiquitin-protein ligase MARCHF11,MARCHF11,['MARCH11'],441061,ENSG00000183654
A6NNH2,Protein FAM90A27P,FAM90A27P,[],,
A6NNJ1,Putative protein FAM90A9,FAM90A9,['FAM90A9P'],,ENSG00000285607
A6NNL0,NUT family member 2B,NUTM2B,['FAM22B'],729262,ENSG00000188199
A6NNM3,RIMS-binding protein 3B,RIMBP3B,[],440804,ENSG00000274600
A6NNM8,Tubulin polyglutamylase TTLL13,TTLL13,['TTLL13P'],,ENSG00000213471
A6NNP5,Coiled-coil domain-containing protein 169,CCDC169,['C13orf38'],728591,ENSG00000242715
A6NNT2,Uncharacterized protein C16orf96,C16orf96,[],342346,ENSG00000205832
A6NNV3,Putative speedy protein E16,SPDYE16,[],102723555,ENSG00000185040
A6NNW6,Enolase 4,ENO4,['C10orf134'],387712,ENSG00000188316
A6NNY8,Ubiquitin carboxyl-terminal hydrolase 27,USP27X,"['USP22L', 'USP27']",389856,ENSG00000273820
A6NP11,Zinc finger protein 716,ZNF716,[],441234,ENSG00000182111
A6NP61,Protein ZAR1-like,ZAR1L,[],646799,ENSG00000189167
A6PVC2,Protein monoglycylase TTLL8,TTLL8,[],,
A6PVL3,Kinocilin,KNCN,[],148930,ENSG00000162456
A6PVS8,Leucine-rich repeat and IQ domain-containing protein 3,LRRIQ3,['LRRC44'],127255,ENSG00000162620
A6PVY3,Protein FAM177B,FAM177B,[],400823,ENSG00000197520
A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein 3,ABTB3,['BTBD11'],121551,ENSG00000151136
A6QL64,Ankyrin repeat domain-containing protein 36A,ANKRD36,"['ANKRD36A', 'KIAA1641']",375248,ENSG00000135976
A6XGL0,YjeF N-terminal domain-containing protein 3,YJEFN3,['AIBP2'],374887,ENSG00000250067
A7E2F4,Golgin subfamily A member 8A,GOLGA8A,['KIAA0855'],23015,ENSG00000175265
A7E2S9,Putative ankyrin repeat domain-containing protein 30B-like,ANKRD30BL,['NCRNA00164'],,ENSG00000163046
A7E2U8,UPF0602 protein C4orf47,C4orf47,[],441054,ENSG00000205129
A7E2V4,Zinc finger SWIM domain-containing protein 8,ZSWIM8,['KIAA0913'],23053,ENSG00000214655
A7E2Y1,Myosin-7B,MYH7B,['KIAA1512'],57644,ENSG00000078814
A7KAX9,Rho GTPase-activating protein 32,ARHGAP32,"['GRIT', 'KIAA0712', 'RICS']",9743,ENSG00000134909
A7MBM2,Protein dispatched homolog 2,DISP2,"['C15orf36', 'DISPB', 'KIAA1742', 'LINC00594']",85455,ENSG00000140323
A7MCY6,TANK-binding kinase 1-binding protein 1,TBKBP1,"['KIAA0775', 'SINTBAD']",9755,ENSG00000198933
A7MD48,Serine/arginine repetitive matrix protein 4,SRRM4,['KIAA1853'],84530,ENSG00000139767
A7XYQ1,Sine oculis-binding protein homolog,SOBP,['JXC1'],55084,ENSG00000112320
A8CG34,Nuclear envelope pore membrane protein POM 121C,POM121C,[],,ENSG00000272391
A8K010,Putative transcriptional regulator encoded by LINC00473,LINC00473,['C6orf176'],,
A8K0R7,Zinc finger protein 839,ZNF839,['C14orf131'],55778,ENSG00000022976
A8K0S8,Putative homeobox protein Meis3-like 2,MEIS3P2,[],,
A8K0Z3,WASH complex subunit 1,WASHC1,"['FAM39E', 'WASH1']",100287171,ENSG00000181404
A8K2U0,Alpha-2-macroglobulin-like protein 1,A2ML1,['CPAMD9'],144568,ENSG00000166535
A8K4G0,CMRF35-like molecule 7,CD300LB,"['CD300B', 'CLM7', 'CMRF35A2', 'IREM3', 'LMIR5', 'TREM5']",124599,ENSG00000178789
A8K554,Putative protein ZNF815,ZNF815P,['ZNF815'],,
A8K5M9,"Uncharacterized protein C15orf62, mitochondrial",C15orf62,[],643338,ENSG00000188277
A8K7I4,Calcium-activated chloride channel regulator 1,CLCA1,['CACC1'],1179,ENSG00000016490
A8K830,POU class 2 homeobox associating factor 3,POU2AF3,"['C11orf93', 'CASC13', 'COLCA2']",120376,ENSG00000214290
A8K855,EF-hand calcium-binding domain-containing protein 7,EFCAB7,['KIAA1799'],84455,ENSG00000203965
A8K8P3,Protein SFI1 homolog,SFI1,['KIAA0542'],9814,ENSG00000198089
A8K8V0,Zinc finger protein 785,ZNF785,[],146540,ENSG00000197162
A8K979,ERI1 exoribonuclease 2,ERI2,"['EXOD1', 'KIAA1504']",112479,ENSG00000196678
A8MPP1,Putative ATP-dependent RNA helicase DDX11-like protein 8,DDX11L8,[],,
A8MPX8,Protein phosphatase 2C-like domain-containing protein 1,PP2D1,['C3orf48'],151649,ENSG00000183977
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,GABRR3,[],200959,ENSG00000183185
A8MQ03,Cysteine-rich tail protein 1,CYSRT1,['C9orf169'],375791,ENSG00000197191
A8MQ11,Postmeiotic segregation increased 2-like protein 5,PMS2P5,"['PMS2L5', 'PMS4', 'PMS7']",,
A8MQ14,Zinc finger protein 850,ZNF850,[],342892,ENSG00000267041
A8MQ27,E3 ubiquitin-protein ligase NEURL1B,NEURL1B,['NEURL3'],54492,ENSG00000214357
A8MQB3,Putative uncharacterized protein LINC02693,LINC02693,['C17orf51'],,
A8MQT2,Golgin subfamily A member 8B,GOLGA8B,[],440270,ENSG00000215252
A8MRT5,Nuclear pore complex-interacting protein family member B5,NPIPB5,[],100132247,ENSG00000243716
A8MT19,Putative rhophilin-2-like protein RHPN2P1,RHPN2P1,[],,
A8MT33,Synaptonemal complex central element protein 1-like,SYCE1L,[],100130958,ENSG00000205078
A8MT65,Zinc finger protein 891,ZNF891,[],101060200,ENSG00000214029
A8MT66,,,[],,
A8MT70,Zinc finger B-box domain-containing protein 1,ZBBX,[],79740,ENSG00000169064
A8MTA8,Protein FAM166B,FAM166B,[],730112,ENSG00000215187
A8MTB9,Carcinoembryonic antigen-related cell adhesion molecule 18,CEACAM18,[],,ENSG00000213822
A8MTI9,Putative serine protease 47,PRSS47P,['PRSS47'],,
A8MTJ6,Forkhead box protein I3,FOXI3,[],344167,ENSG00000214336
A8MTL3,RING finger protein 212B,RNF212B,['C14orf164'],100507650,ENSG00000215277
A8MTQ0,Homeobox protein notochord,NOTO,[],344022,ENSG00000214513
A8MTW9,,,[],,
A8MTY0,Zinc finger protein 724,ZNF724,['ZNF724P'],,ENSG00000196081
A8MTY7,Keratin-associated protein 9-7,KRTAP9-7,"['KAP9.7', 'KRTAP9.7', 'KRTAP9L1']",100505724,ENSG00000262221
A8MTZ7,Uncharacterized protein C12orf71,C12orf71,[],728858,ENSG00000214700
A8MU10,,,[],,
A8MU46,Smoothelin-like protein 1,SMTNL1,[],219537,ENSG00000214872
A8MU93,Uncharacterized protein C17orf100,C17orf100,[],388327,ENSG00000256806
A8MUA0,,,[],,
A8MUH7,Putative PDZ domain-containing protein PDZK1P1,PDZK1P1,['PDZK1P2'],,
A8MUI8,,,[],,
A8MUK1,Ubiquitin carboxyl-terminal hydrolase 17-like protein 5,USP17L5,[],728386,ENSG00000227140
A8MUL3,Putative uncharacterized protein ADARB2-AS1,ADARB2-AS1,"['C10orf109', 'NCRNA00168']",,
A8MUN3,,,[],,
A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial",CSKMT,['METTL12'],751071,ENSG00000214756
A8MUP6,Germ cell-specific gene 1-like protein 2,GSG1L2,[],644070,ENSG00000214978
A8MUU9,,,[],,
A8MUV8,Putative zinc finger protein 727,ZNF727,['ZNF727P'],442319,ENSG00000214652
A8MUX0,Keratin-associated protein 16-1,KRTAP16-1,['KAP16.1'],100505753,ENSG00000263186
A8MUZ8,Putative zinc finger protein 705G,ZNF705G,[],100131980,ENSG00000215372
A8MV23,Serpin E3,SERPINE3,[],647174,ENSG00000253309
A8MV24,Uncharacterized protein C17orf98,C17orf98,[],388381,ENSG00000276913
